"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","4.7uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C3,C4,C5,C6,C7,C8,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21","0.1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","17",""
"C9,C10","18pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"D1","POWER","~","LED_SMD:LED_PLCC-2_3.4x3.0mm_KA","1",""
"H1,H2","MountingHole","~","MountingHole:MountingHole_2.7mm_M2.5_DIN965","2",""
"J2,J3","5V","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"R1","220","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","15k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"S1","Logo_Open_Hardware_Small","~","Symbol:OSHW-Symbol_6.7x6mm_SilkScreen","1",""
"TP1","Ground Loop","~","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","1",""
"TP2","3.3V","~","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1",""
"U1","AP7361EA-33E-13","https://www.diodes.com/assets/Datasheets/AP7361C.pdf","Package_TO_SOT_SMD:SOT-223","1",""
"U2","VME64-P1-3R","","Connector_DIN:DIN41612_C_3x32_Male_Horizontal_THT","1",""
"U3","74HC14","http://www.ti.com/lit/gpn/sn74HC14","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1",""
"U4","74HC86","http://www.ti.com/lit/gpn/sn74HC86","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1",""
"U5","74HC20","http://www.ti.com/lit/gpn/sn74LS20","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1",""
"U6","74HC139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","1",""
"U7,U8","74HC32","http://www.ti.com/lit/gpn/sn74LS32","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","2",""
"U9","74LVC1G14","https://www.diodes.com/assets/Datasheets/74LVC1G14.pdf","Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering","1",""
"U10","74LS393","74xx\74LS393.pdf","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1",""
"U11,U12","74LVC1G06","https://assets.nexperia.com/documents/data-sheet/74LVC1G06.pdf","Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering","2",""
"U13,U15","74ALVC164245DG","https://assets.nexperia.com/documents/data-sheet/74ALVC164245.pdf","Package_SO:TSSOP-48_6.1x12.5mm_P0.5mm","2",""
"U14","74LVC8T245APW","https://assets.nexperia.com/documents/data-sheet/74LVC_LVCH8T245.pdf","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","1",""
"U16,U17,U18,U19","AS6C8016","https://www.alliancememory.com/wp-content/uploads/pdf/lp_sram/AS6C8016.pdf","Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm","4",""
"Y1","Crystal","~","Crystal:Crystal_HC49-4H_Vertical","1",""
