"Source:","/media/work/ivy/controllers/bigboy/hardware/BigBoy/BigBoy.kicad_sch"
"Date:","Wed 27 Dec 2023 07:18:30 PM"
"Tool:","Eeschema 7.0.9+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","120"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","4.7uF","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C3, C5, C7, C8, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C28, C29, C30, C31, C32, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44","36","0.1uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C4","1","1uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C6, C9","2","2.2uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C26, C27","2","5pF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C33","1","10uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"D1","1","POWER","LED","LED_SMD:LED_PLCC-2_3.4x3.0mm_KA","Light emitting diode","",""
"D2, D3","2","Harvatek HV-32312","LED_Dual_KAKA","Computie_Miscellaneous:Dialight 553-0xxxF","Dual LED, cathodes on pins 1 and 3","",""
"H1, H2","2","MountingHole","MountingHole","MountingHole:MountingHole_2.7mm_M2.5_DIN965","Mounting Hole without connection","",""
"J1, J2, J4","3","5V","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3, J5","2","3.3V","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J6","1","Conn_ST_STDC14","Conn_ST_STDC14","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD","ST Debug Connector, standard ARM Cortex-M SWD and JTAG interface plus UART","",""
"J7","1","Hirose DM3D-SF","Micro_SD_Card_Det1","Connector_Card:microSD_HC_Hirose_DM3D-SF","Micro SD Card Socket with one card detection pin","",""
"J8","1","Amphenol 10118194-0001LF","USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","USB Micro Type B connector","",""
"J9","1","Bel SI-60062-F","RJ45_Bel_SI-60062-F","Connector_RJ:RJ45_Bel_SI-60062-F","1 Port RJ45 Magjack Connector Through Hole 10/100 Base-T, AutoMDIX","",""
"J10","1","SPI1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J11","1","USART1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
